15 1.85762
14.9995 1.86288
14.9991 1.87102
14.9982 1.91386
14.9977 1.96829
14.995 1.97004
14.992 1.97986
14.987 2.03644
14.9849 2.0773
14.9673 3.29645
14.8434 5.66896
14.6887 5.97696
14.5837 6.32205
14.4992 6.45599
14.3816 6.47079
14.3731 6.84376
14.1694 7.14913
13.9547 7.37799
13.8128 7.538
13.7693 7.9711
13.7471 8.11961
13.2172 8.78442
12.9345 9.00593
12.7443 9.08524
12.612 9.40965
12.5686 9.50722
12.5031 9.87302
11.8965 10.2174
11.8842 10.3641
11.8835 10.4217
11.1698 11.3679
10.9439 11.4027
10.7526 11.7892
10.7041 11.8531
10.1829 12.289
10.1259 12.3528
9.98238 12.4138
9.72282 12.414
9.69879 12.7049
9.07233 12.7205
8.81598 13.2425
8.18425 13.3867
8.01648 13.6221
7.58 13.8723
7.31151 14.1214
7.2298 14.1595
7.11994 14.1599
6.95674 14.3572
6.52506 14.4528
6.48432 14.5805
6.24399 14.6999
6.18654 14.7072
5.95285 14.7344
5.89769 14.7556
5.79492 14.7619
5.77592 14.8054
5.58686 14.9298
5.49989 14.9411
5.4715 14.9714
5.46944 14.9714
5.44106 14.9994
5.39574 15.0329
5.31907 15.0808
5.30739 15.0927
5.03319 15.1838
5.01854 15.1889
5.00458 15.1965
5.00023 15.1986
4.93042 15.2096
4.84459 15.2333
4.42687 15.2731
4.39941 15.2767
4.37469 15.3175
4.34974 15.3255
4.1561 15.4086
